
These predictions were generated by HydroDyn on 12-Aug-2019 at 11:27:38.




    Time            Wave1Elev              M1N1Vxi              M1N1Vzi              M1N1Axi              M1N1Azi             M1N1FDxi             M1N1FDzi             M1N1FIxi             M1N1FIzi             M1N1FAxi             M1N1FAzi
   (sec)                  (m)                (m/s)                (m/s)              (m/s^2)              (m/s^2)                (N/m)                (N/m)                (N/m)                (N/m)                (N/m)                (N/m)
    0.7500           3.5640E+00           6.8575E-01          -8.3033E-01          -6.6163E-01          -3.3975E-01           1.1227E+03          -7.0846E+02          -3.1549E+03           1.9907E+03           0.0000E+00           0.0000E+00
    0.7750           3.5312E+00           6.6843E-01          -8.3776E-01          -6.6756E-01          -3.3117E-01           1.0994E+03          -6.9375E+02          -3.2349E+03           2.0412E+03           0.0000E+00           0.0000E+00
    0.8000           3.4984E+00           6.5111E-01          -8.4520E-01          -6.7348E-01          -3.2259E-01           1.0764E+03          -6.7919E+02          -3.3148E+03           2.0917E+03           0.0000E+00           0.0000E+00
    0.8250           3.4656E+00           6.3380E-01          -8.5264E-01          -6.7941E-01          -3.1401E-01           1.0535E+03          -6.6479E+02          -3.3948E+03           2.1422E+03           0.0000E+00           0.0000E+00
    0.8500           3.4328E+00           6.1648E-01          -8.6007E-01          -6.8533E-01          -3.0543E-01           1.0310E+03          -6.5054E+02          -3.4748E+03           2.1926E+03           0.0000E+00           0.0000E+00
    0.8750           3.4000E+00           5.9916E-01          -8.6751E-01          -6.9126E-01          -2.9685E-01           1.0086E+03          -6.3645E+02          -3.5548E+03           2.2431E+03           0.0000E+00           0.0000E+00
    0.9000           3.3673E+00           5.8185E-01          -8.7495E-01          -6.9718E-01          -2.8827E-01           9.8653E+02          -6.2251E+02          -3.6348E+03           2.2936E+03           0.0000E+00           0.0000E+00
    0.9250           3.3345E+00           5.6453E-01          -8.8238E-01          -7.0311E-01          -2.7969E-01           9.6469E+02          -6.0873E+02          -3.7148E+03           2.3441E+03           0.0000E+00           0.0000E+00
    0.9500           3.3017E+00           5.4721E-01          -8.8982E-01          -7.0904E-01          -2.7111E-01           9.4309E+02          -5.9510E+02          -3.7948E+03           2.3945E+03           0.0000E+00           0.0000E+00
    0.9750           3.2689E+00           5.2989E-01          -8.9726E-01          -7.1496E-01          -2.6253E-01           9.2173E+02          -5.8162E+02          -3.8748E+03           2.4450E+03           0.0000E+00           0.0000E+00
    1.0000           3.2361E+00           5.1258E-01          -9.0469E-01          -7.2089E-01          -2.5395E-01           9.0062E+02          -5.6830E+02          -3.9547E+03           2.4955E+03           0.0000E+00           0.0000E+00
    1.0250           3.1953E+00           4.9400E-01          -9.0990E-01          -7.2504E-01          -2.4475E-01           8.7538E+02          -5.5237E+02          -4.0250E+03           2.5398E+03           0.0000E+00           0.0000E+00
    1.0500           3.1545E+00           4.7542E-01          -9.1511E-01          -7.2919E-01          -2.3554E-01           8.5049E+02          -5.3667E+02          -4.0952E+03           2.5841E+03           0.0000E+00           0.0000E+00
